document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,0.1280197650194168,,,0.0805434137582779,,,0.06581374257802963,0.02921120636165142,,0.08378327637910843,0.5796330571174622,,,
1,,,0.1818155199289322,,,0.1399943083524704,,,0.023249786347150803,0.38310351967811584,,,0.24549904465675354,,,
2,,,0.14583538472652435,0.025439096614718437,,0.1656760573387146,,,0.023980330675840378,0.3443373739719391,,,0.26794007420539856,,,
3,,,0.037588395178318024,,,0.11207439750432968,,,0.10077057033777237,0.04586949571967125,,0.18114939332008362,0.46671441197395325,0.015288892202079296,,0.021179357543587685
4,,,0.08869972825050354,,0.01114550419151783,0.25515320897102356,,,0.05407407879829407,0.23942889273166656,,,0.22697317600250244,,,0.11011811345815659
5,,,0.07769399136304855,,,0.3035682439804077,,,0.0962769091129303,0.0935123860836029,,,0.3523266315460205,,0.015186157077550888,0.040474578738212585
6,,,0.09061890095472336,,,0.43016505241394043,,,0.04146687686443329,0.07449838519096375,,,0.31317317485809326,,,0.011053490452468395
7,,,0.04632287845015526,0.25126683712005615,,0.12831182777881622,,,0.01274156291037798,0.028143486008048058,,0.20342136919498444,0.270208477973938,,,0.052034229040145874
8,,,0.04519075155258179,,,0.18780502676963806,,,0.2704640030860901,0.02090628631412983,,0.18250852823257446,0.2366543561220169,,0.04374993219971657,
9,,,0.09419858455657959,,0.013484034687280655,0.09855996817350388,,,0.03416036069393158,0.10534632951021194,,0.24386157095432281,0.3899146616458893,,,
10,,,0.05500181019306183,0.014547127299010754,,0.5738524794578552,,,0.0670565813779831,0.07122355699539185,,,0.18921923637390137,,,0.015415227971971035
11,,0.15549519658088684,0.09216487407684326,,,0.1501094102859497,,,0.03561266511678696,0.06805793195962906,,,0.3396349847316742,,,0.14146029949188232
12,,,0.10075883567333221,,,0.24996070563793182,0.016947735100984573,,0.02739429846405983,0.22776158154010773,,,0.3352256715297699,,,0.020867064595222473
13,,0.014301084913313389,0.08311694115400314,,,0.10380972176790237,,,0.0356363020837307,0.03259549289941788,,0.03547145053744316,0.6323318481445312,,0.013088692910969257,0.030602432787418365
14,,0.120600126683712,0.05035904422402382,,0.05977027863264084,0.32607021927833557,,,0.025788631290197372,0.11483556777238846,0.06011533737182617,,0.2057473212480545,,0.01588292233645916,
15,,,0.11348613351583481,0.0162685364484787,,0.23246793448925018,0.014725210145115852,,0.1466827690601349,0.23127925395965576,,,0.22513365745544434,,,
16,,,0.07384871691465378,,,0.18698273599147797,,,0.0343065969645977,0.04914332553744316,0.02798532508313656,0.17502450942993164,0.26159918308258057,,0.15695780515670776,
17,,,0.15579113364219666,,,0.11670787632465363,,,0.28571608662605286,0.042293500155210495,,,0.28700563311576843,,0.054088667035102844,0.03926527872681618
18,,0.036136895418167114,0.04645724594593048,0.0280528012663126,,0.34424614906311035,,,0.09969895333051682,0.0412026047706604,,,0.3338906764984131,,,0.05735647305846214
19,,0.0186159685254097,0.1973298192024231,0.020651616156101227,,0.25564083456993103,,,0.0162712000310421,0.05427061766386032,,,0.36296188831329346,,,0.061387769877910614
20,0.013037901371717453,0.06584586203098297,0.046012699604034424,,,0.18381790816783905,,,0.060096632689237595,0.06296408921480179,,,0.5332216024398804,,0.01323468703776598,
21,,0.01567186787724495,0.2407030165195465,0.06701839715242386,,0.2705037295818329,,,0.12856563925743103,0.03544611856341362,0.014687656424939632,,0.1977199912071228,,0.013914370909333229,
22,0.010793586261570454,,0.06942641735076904,,,0.10674300789833069,,,0.047332264482975006,0.032271627336740494,0.3057396113872528,0.14987964928150177,0.25384557247161865,,,0.014039559289813042
23,,,0.05875002592802048,0.019240956753492355,,0.09491312503814697,,,0.06645719707012177,0.06843694299459457,0.034914519637823105,0.3842686414718628,0.25167563557624817,,,
24,,0.013554763048887253,0.0303668025881052,,,0.2596140205860138,,,0.04218026250600815,0.036383870989084244,0.023451460525393486,,0.5765401124954224,,,
25,,,0.22694538533687592,,,0.15683932602405548,0.014251185581088066,,0.024899424985051155,0.0446622408926487,,0.05911687761545181,0.2705850899219513,,0.17311613261699677,0.017107635736465454
26,0.04052872210741043,,0.26067253947257996,,0.030599582940340042,0.2485976368188858,,,0.03577759861946106,0.16591347754001617,,,0.19005107879638672,,,0.010685364715754986
27,,,0.055948175489902496,,0.01402717363089323,0.4779623746871948,,,0.07317755371332169,0.05742466077208519,,0.01849021576344967,0.2468642294406891,,,0.04101471230387688
28,,,0.05079156160354614,,,0.07627186924219131,,,0.15697407722473145,0.11709054559469223,,0.4064221680164337,0.17214934527873993,,,0.010425182990729809
29,0.05936799943447113,0.10884235799312592,0.12334296107292175,,0.02721586637198925,0.28797629475593567,,,0.013867596164345741,0.15974532067775726,0.010024454444646835,,0.19745373725891113,,,
30,0.06388475745916367,0.011535377241671085,0.10863254964351654,,,0.1659257411956787,,,0.02327777072787285,0.2976560890674591,,,0.1297253668308258,,,0.1886824518442154
31,,,0.0887100100517273,,,0.2537752091884613,,,0.17582927644252777,0.05311405286192894,0.011599801480770111,0.0801880806684494,0.3199099898338318,,,
32,,,0.5699072480201721,,,0.10525431483983994,,,0.0831567570567131,0.0719304084777832,,0.014011436142027378,0.1201668232679367,,,0.02317477948963642
33,,0.030425459146499634,0.04311077669262886,,0.05824892222881317,0.1894771009683609,,,0.26222503185272217,0.03920614346861839,0.013176842592656612,0.025602325797080994,0.29164519906044006,,0.03060106746852398,
34,0.03795722499489784,0.12866008281707764,0.11641400307416916,,0.012739855796098709,0.12511879205703735,,,0.10624261200428009,0.03625452145934105,,,0.4193578064441681,,,
35,0.013067071326076984,0.1659192442893982,0.051634594798088074,,,0.483426958322525,,,0.039182987064123154,0.06877560168504715,,,0.14237940311431885,,,0.021717926487326622
36,,0.032739222049713135,0.07158998399972916,0.06860177963972092,,0.2900206744670868,,,0.06969830393791199,0.12693803012371063,,,0.25875672698020935,,0.02329050749540329,0.042085953056812286
37,,,0.06391877681016922,,0.01577829383313656,0.21700602769851685,,,0.1627197563648224,0.05831057205796242,,0.1901218593120575,0.2553378641605377,,,0.019841741770505905
38,0.012947759591042995,,0.07903926819562912,0.012304944917559624,,0.1957128494977951,,,0.049054134637117386,0.11829721182584763,0.010928464122116566,0.039983879774808884,0.268826425075531,,,0.20586296916007996
39,,,0.03049059584736824,,,0.11261453479528427,,,0.045261841267347336,0.020741134881973267,,0.26445338129997253,0.49843043088912964,,0.011126924306154251,
40,,,0.4912220239639282,0.01384220365434885,,0.12156404554843903,,,0.046565670520067215,0.060106415301561356,,,0.21616585552692413,,,0.036632128059864044
41,,0.015777386724948883,0.09904070198535919,0.012987038120627403,,0.20222778618335724,0.11384006589651108,,0.025408554822206497,0.05696497857570648,,,0.3525101840496063,,,0.11183256655931473
42,0.30048149824142456,0.018128735944628716,0.15695179998874664,,,0.23798859119415283,,,0.022235117852687836,0.028062237426638603,,,0.2120269387960434,,,
43,,,0.05624309927225113,0.016742395237088203,,0.295357346534729,0.012574546970427036,,0.011637784540653229,0.05129105970263481,0.012312659993767738,,0.5186054706573486,,,0.019683659076690674
44,,,0.11950400471687317,,,0.18992993235588074,0.1853518933057785,,0.04808001592755318,0.22723683714866638,,,0.19705234467983246,,,
45,,,0.1446278691291809,0.08457205444574356,,0.24416962265968323,0.022230934351682663,,0.032700374722480774,0.12067589163780212,,0.02502949722111225,0.1496000438928604,,,0.16738806664943695
46,0.0115328598767519,0.02304561622440815,0.15716691315174103,,0.04254983738064766,0.28508198261260986,0.08579155802726746,0.010769190266728401,0.10793598741292953,0.07071671634912491,0.011948355473577976,,0.18105259537696838,,,
47,,,0.1213357225060463,0.16143006086349487,,0.23893259465694427,0.011718809604644775,,0.016433849930763245,0.10434363782405853,,,0.3300530016422272,,,
48,,,0.19724449515342712,,,0.24753351509571075,,,0.034677594900131226,0.13782134652137756,,,0.3457384705543518,,,0.01799839921295643
49,,0.20232439041137695,0.09164269268512726,,,0.28746262192726135,,,0.020833447575569153,0.05993163213133812,,,0.29535844922065735,,,0.025183476507663727
50,,0.056530795991420746,0.037585243582725525,,,0.6320932507514954,,,0.06389524042606354,0.040127720683813095,,,0.15030959248542786,,,
51,,,0.048228807747364044,0.02265677973628044,,0.45830512046813965,,,0.20038184523582458,0.05698287859559059,,,0.2010442167520523,,,
52,0.011360286734998226,0.12149827927350998,0.06898311525583267,,,0.3658970892429352,,,0.05588001385331154,0.19634123146533966,,,0.15521949529647827,,,0.013636292889714241
53,,,0.043738335371017456,0.015136404894292355,,0.3702172338962555,,,0.15769878029823303,0.03564704582095146,,0.016668053343892097,0.31921204924583435,,,0.029286829754710197
54,,,0.10242373496294022,,,0.1501772552728653,,,0.02967887371778488,0.471550315618515,,0.02100122533738613,0.20488573610782623,,,
55,0.05282917991280556,0.13090594112873077,0.09261523187160492,0.05423145741224289,,0.3347190022468567,0.010146897286176682,,0.11939539015293121,0.021834591403603554,,,0.1558891236782074,,,0.021038193255662918
56,,0.06345690041780472,0.13488617539405823,,,0.18775947391986847,,,0.2855338454246521,0.06313812732696533,,,0.24469654262065887,,,
57,,,0.03725102171301842,,,0.18011626601219177,,,0.15330767631530762,0.04459618031978607,0.013576432131230831,,0.5589135885238647,,,
58,,,0.040896546095609665,0.038120120763778687,,0.19213926792144775,,,0.01162725780159235,0.23594900965690613,,,0.3732498288154602,,,0.0985955223441124
59,,0.14067021012306213,0.18806670606136322,,,0.2515123188495636,0.10740175098180771,,0.025035524740815163,0.07044270634651184,,0.035377077758312225,0.15162451565265656,,0.013721808791160583,
60,,,0.41012832522392273,,,0.08594484627246857,,,0.07183369994163513,0.08999132364988327,,0.15277478098869324,0.12700068950653076,,0.01074999663978815,0.039219580590724945
61,0.01299397274851799,,0.08296655118465424,,,0.12712638080120087,,,0.05541399121284485,0.025931013748049736,,0.03368711844086647,0.6086970567703247,,0.03509511426091194,
62,,0.010021106339991093,0.4330255091190338,,,0.2091483175754547,,,0.05758294463157654,0.06626557558774948,,,0.2009284943342209,,,0.014491301029920578
63,,0.02172045037150383,0.0868958905339241,,,0.25697892904281616,,,0.04941199719905853,0.3164606988430023,,,0.25097256898880005,,,
64,0.03867950662970543,,0.06149490177631378,,,0.13746044039726257,0.05936961621046066,,0.23096677660942078,0.16435964405536652,,0.07470042258501053,0.20972326397895813,,,0.013466497883200645
65,,,0.03929898142814636,,,0.11373487859964371,,,0.1095811054110527,0.021380290389060974,,0.3197231888771057,0.31711483001708984,0.05597083643078804,,0.0121097881346941
66,,,0.12921355664730072,,,0.34927254915237427,0.05131461098790169,0.048623234033584595,0.13503995537757874,0.023310735821723938,,,0.224871426820755,,,0.02169843018054962
67,,,0.24925468862056732,,0.014950748533010483,0.2925705313682556,0.015417308546602726,,0.034241363406181335,0.0784311443567276,,0.06207137927412987,0.20718111097812653,,0.014452900737524033,0.018979648128151894
68,,0.036173027008771896,0.07161756604909897,,,0.48390164971351624,,,0.0688384547829628,0.05195758119225502,,,0.20608627796173096,,,0.06135173514485359
69,,,0.45155176520347595,,0.0630267858505249,0.2248263657093048,,,0.019506046548485756,0.07267174869775772,0.019093956798315048,,0.1334388554096222,,,
