document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,0.5585584044456482,,,,,0.4231615662574768,,,,,,
1,,,,,0.10981322824954987,,,0.18890541791915894,,0.6928377151489258,,,,,,
2,,,,,0.20589038729667664,,,,,0.20884618163108826,,,,,0.5703755021095276,
3,,,,,0.10373929888010025,,,,,,0.8268595933914185,,,,0.057800862938165665,
4,,,,0.25191980600357056,0.3822261691093445,,0.07116874307394028,0.04869301989674568,0.03506607562303543,0.15601640939712524,,,,,0.05200166627764702,
5,,,,,0.22119562327861786,,0.6177288293838501,,,0.09152474999427795,,,0.022814350202679634,,0.04090647026896477,
6,,,,,0.053115103393793106,,,,,0.8212501406669617,,0.030470509082078934,,,0.08850057423114777,
7,,,0.7176927924156189,,0.040674012154340744,,,,,0.18827520310878754,,,,,0.045559946447610855,
8,,,,,0.43770211935043335,,,,,0.370173841714859,,,,,0.18420207500457764,
9,,,,,,,0.06420602649450302,,,,,,,,0.9283163547515869,
10,,,,,,,0.22893774509429932,0.5710230469703674,,0.10536359995603561,,,,,0.08551788330078125,
11,,,,,0.01005557831376791,,0.010141488164663315,,,0.23495379090309143,,,0.1602792590856552,,0.5640957355499268,
12,,,,,0.20144297182559967,,0.14596553146839142,,,,,,0.39217856526374817,,0.24699725210666656,
13,,,,,0.7209245562553406,,,,,0.2245655208826065,,0.04586593806743622,,,,
14,0.6348971128463745,,,,,,,,,0.15351833403110504,,,,,0.1918066293001175,
15,,,,,,,0.38458138704299927,,,,,,,,0.585117757320404,
16,,,,,0.30201777815818787,,,0.5181494951248169,,,,,,,0.16816766560077667,
17,,,,,,,0.08978348970413208,,0.7225706577301025,,,,,,0.17458133399486542,
18,,,0.010249922052025795,,0.03839123621582985,,0.048339251428842545,,,0.12715403735637665,0.6908770799636841,,,,0.08093337714672089,
19,,,,,,,,,0.36962342262268066,0.32655563950538635,,,,,0.2826913893222809,
20,0.32645881175994873,,,,0.05540440231561661,,0.15676331520080566,0.17388713359832764,,0.28212517499923706,,,,,,
21,,,,,,,,,,0.16898687183856964,,,,,0.8160310983657837,
22,,,,,0.31795573234558105,,0.12671490013599396,,,0.5451508164405823,,,,,,
23,,,,,,0.024424005299806595,0.3059977889060974,,,,,,0.4839524030685425,,0.17436011135578156,
24,,,,,0.1899406611919403,,,0.6397757530212402,,0.163085475564003,,,,,,
25,,,0.3097851276397705,,0.26600387692451477,,,,,0.41234493255615234,,,,,,
26,,,,,0.3037796914577484,,0.3783318102359772,0.1034923568367958,,0.19667528569698334,,,0.012214385904371738,,,
27,,,,0.640871524810791,,,,,,0.3422435522079468,,,,,,
28,,,,0.25255969166755676,,,0.12521584331989288,,,0.27036985754966736,,,,,0.34666723012924194,
